date,min,max,pm25,q1,q3,stdev,count
2022-02-13T00:00:00.000Z,1,3.3,1.7,1.3,2.2,0.56,80
2022-02-14T00:00:00.000Z,0.5,2.9,0.9,0.73,1.3,0.434,570
2022-02-15T00:00:00.000Z,0.5,17.85,0.9,0.73,2,1.826,579
2022-02-16T00:00:00.000Z,0.3,6.63,0.7,0.6,1.1,0.635,581
2022-02-17T00:00:00.000Z,0.3,13.17,0.7,0.5,0.94,1.425,577
2022-02-18T00:00:00.000Z,0.5,105.7,1.4,0.9,2.73,7.169,569
2022-02-19T00:00:00.000Z,0.3,43.38,1.4,0.5,2.17,3.105,582
2022-02-20T00:00:00.000Z,0.5,8.1,0.9,0.77,1.89,1.563,581
2022-02-21T00:00:00.000Z,0.3,2.2,0.9,0.7,1.12,0.344,578
2022-02-22T00:00:00.000Z,0.2,15.98,0.5,0.4,3.19,3.063,585
2022-02-23T00:00:00.000Z,0.3,3.65,0.8,0.56,1.3,0.62,582
2022-02-24T00:00:00.000Z,0.4,19.97,0.8,0.68,1.27,1.052,579
2022-02-25T00:00:00.000Z,0.3,2.6,0.7,0.5,0.98,0.37,575
2022-02-26T00:00:00.000Z,0.4,3.7,1.2,0.6,1.79,0.681,573
2022-02-27T00:00:00.000Z,1,17.27,2.1,1.4,3.63,1.979,578
2022-02-28T00:00:00.000Z,1.2,6.05,2.9,2.5,3.47,0.833,576
2022-03-01T00:00:00.000Z,0.6,69.23,2,1.3,6.57,10.58,588
2022-03-02T00:00:00.000Z,1.1,30.98,2.58,1.73,3.67,3.031,563
2022-03-03T00:00:00.000Z,1.07,5.43,1.8,1.5,2,0.721,572
2022-03-04T00:00:00.000Z,1.23,6.1,3.47,2.27,4.2,1.131,581
2022-03-05T00:00:00.000Z,1.7,4.7,2.42,2.15,2.9,0.576,570
2022-03-06T00:00:00.000Z,1.67,5.6,3.53,2.29,4,0.912,551
2022-03-07T00:00:00.000Z,1.1,6.27,3.58,3,4.37,1.177,452
2022-03-08T00:00:00.000Z,0.7,3.5,1.96,1.23,2.65,0.734,558
2022-03-09T00:00:00.000Z,0.4,3.45,1.1,0.8,1.3,0.45,573
2022-03-10T00:00:00.000Z,0.3,3.17,1.2,0.7,1.47,0.51,580
2022-03-11T00:00:00.000Z,0.9,3.8,1.67,1.4,1.9,0.505,577
2022-03-12T00:00:00.000Z,1.2,5.3,2.78,1.92,3.37,0.859,571
2022-03-13T00:00:00.000Z,1.4,5.03,2.8,2.25,3.6,0.765,559
2022-03-14T00:00:00.000Z,0.7,8.5,2.93,2.29,3.44,0.919,576
2022-03-15T00:00:00.000Z,0.8,53.4,2.2,1.87,2.9,6.456,580
2022-03-16T00:00:00.000Z,1.1,121.53,1.9,1.63,2.5,13.617,566
2022-03-17T00:00:00.000Z,1,334.8,4.18,2.87,16.6,58.295,574
