date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.3,52,2.72,1.6,5.26,5.893,319
2019-12-10T00:00:00.000Z,0.31,15.28,4.5,3.8,5.73,1.739,405
2019-12-11T00:00:00.000Z,1.25,51.58,3.95,2.52,9.35,5.47,419
2019-12-12T00:00:00.000Z,2.86,34.75,7.44,6.03,12.75,4.077,488
2019-12-13T00:00:00.000Z,1.14,26.15,4.68,2.76,6.48,3.76,560
2019-12-14T00:00:00.000Z,0.65,5.51,1.78,1.4,2.68,0.885,397
2019-12-15T00:00:00.000Z,1.3,32.82,3.68,2.57,8.53,4.448,575
2019-12-16T00:00:00.000Z,2.04,24.2,4.25,3.07,6.73,3.223,292
2019-12-17T00:00:00.000Z,0.15,4.8,0.45,0.35,0.89,0.957,289
2019-12-18T00:00:00.000Z,0.38,19.76,2.5,1.05,4.53,3.863,465
2019-12-19T00:00:00.000Z,0.05,20.14,6.92,2.65,9.78,4.205,549
2019-12-20T00:00:00.000Z,0,2.68,0.38,0.2,0.64,0.53,581
2019-12-21T00:00:00.000Z,0.25,13.78,3.26,1.36,5.72,3.043,570
2019-12-22T00:00:00.000Z,0.44,125.05,1.96,1.02,3.6,7.37,582
2019-12-23T00:00:00.000Z,0.53,4.08,1.3,1.1,1.74,0.527,581
2019-12-24T00:00:00.000Z,0.76,3.72,1.53,1.3,1.81,0.433,583
2019-12-25T00:00:00.000Z,0.56,4.01,1.69,1.4,2.43,0.776,583
2019-12-26T00:00:00.000Z,1.4,29.12,5.54,3.93,8.61,4.022,581
2019-12-27T00:00:00.000Z,3.1,29.48,8.43,6.56,12.5,5.864,584
2019-12-28T00:00:00.000Z,5,24.24,12.63,10.05,18.22,4.896,582
2019-12-29T00:00:00.000Z,2.44,50,9.93,6.92,13.1,5.749,551
2019-12-30T00:00:00.000Z,1.06,77.38,3.83,2.22,6.99,6.074,577
2019-12-31T00:00:00.000Z,1.58,278.62,4.94,3.62,17.7,29.618,575
2020-01-01T00:00:00.000Z,4.98,103.86,14.64,12.09,21.58,14.721,581
2020-01-02T00:00:00.000Z,2.56,126.08,8.27,5.05,11.14,8.218,571
2020-01-03T00:00:00.000Z,2.65,30.9,7.08,5.72,9.88,4.234,551
2020-01-04T00:00:00.000Z,1.52,18.93,3.52,2.9,4.13,1.398,556
2020-01-05T00:00:00.000Z,2.5,36.08,6.34,4.76,11.92,5.44,558
2020-01-06T00:00:00.000Z,0.6,62.18,6.32,2.64,8.63,7.396,526
2020-01-07T00:00:00.000Z,1.9,25.98,7.72,5.05,12.02,5.244,516
2020-01-08T00:00:00.000Z,2.08,49.3,7.85,4.43,10.91,5.656,509
2020-01-09T00:00:00.000Z,1.9,84.98,4.4,3.36,7.59,6.471,533
2020-01-10T00:00:00.000Z,1.21,37.33,4.25,2.38,6.57,2.978,428
2020-01-11T00:00:00.000Z,2.31,25.98,8.65,7.34,11.82,4.679,525
2020-01-12T00:00:00.000Z,1.82,35.6,5.38,3.6,7.65,4.387,563
2020-01-13T00:00:00.000Z,2.76,33.74,6.65,5.25,9.65,5.089,485
2020-01-14T00:00:00.000Z,1.76,42.95,4.62,3.11,14.32,8.544,435
2020-01-15T00:00:00.000Z,4.63,41.33,17.73,13.8,24.04,6.725,460
2020-01-16T00:00:00.000Z,2.27,24.31,8.75,4.95,14.52,5.578,476
2020-01-17T00:00:00.000Z,1.86,33.45,11.76,6.93,19.95,7.245,468
2020-01-18T00:00:00.000Z,0.6,12.47,3.62,1.86,5.2,2.432,503
2020-01-19T00:00:00.000Z,9.9,22.32,17.57,13.97,19.2,3.357,453
2020-01-20T00:00:00.000Z,6.6,29.55,16.64,12.18,22.58,6.436,366
2020-01-21T00:00:00.000Z,6.06,23.88,16.55,13.26,18.42,4.01,458
2020-01-22T00:00:00.000Z,14.02,18.46,14.98,14.58,15.46,1.27,16
