date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1,4.34,2.13,1.75,2.58,0.665,312
2019-12-10T00:00:00.000Z,0.65,2.58,1.3,1.14,1.45,0.265,411
2019-12-11T00:00:00.000Z,0.85,2.54,1.72,1.56,1.89,0.314,422
2019-12-12T00:00:00.000Z,0.6,5.92,2.44,1.35,3.15,1.154,486
2019-12-13T00:00:00.000Z,0.56,2.68,1.68,1.34,1.9,0.445,559
2019-12-14T00:00:00.000Z,0.64,11.16,1.58,1.06,5.17,3.039,401
2019-12-15T00:00:00.000Z,0.71,7.72,1.68,1.14,2.9,1.25,571
2019-12-16T00:00:00.000Z,1.18,3.05,1.8,1.54,2.39,0.516,288
2019-12-17T00:00:00.000Z,0.25,14.5,0.4,0.35,0.5,1.87,127
2019-12-18T00:00:00.000Z,0.3,19.37,1.6,1.17,2.38,2.235,151
2019-12-19T00:00:00.000Z,0.2,19,0.55,0.32,6.93,4.393,66
2019-12-20T00:00:00.000Z,0.2,9.25,0.36,0.3,0.48,1.102,463
2019-12-21T00:00:00.000Z,0.2,4.4,0.86,0.5,1.82,0.935,170
2019-12-22T00:00:00.000Z,0.3,4.13,2.22,1.4,2.67,0.876,64
2019-12-23T00:00:00.000Z,0.15,1.2,0.3,0.2,0.43,0.201,95
2019-12-24T00:00:00.000Z,0.2,2.4,0.62,0.5,0.9,0.49,46
2019-12-25T00:00:00.000Z,0.27,18.57,1.21,0.67,4.16,3.064,106
2019-12-26T00:00:00.000Z,0.6,8.69,5.09,1.9,6.11,2.125,144
2019-12-27T00:00:00.000Z,2.7,23.8,10.15,5.53,13.12,5.055,186
2019-12-28T00:00:00.000Z,4.09,15.55,7.5,5.99,12.04,3.198,380
2019-12-29T00:00:00.000Z,1.27,10.34,3.22,1.94,5.83,2.396,252
2019-12-30T00:00:00.000Z,0.37,8.4,1.3,0.83,2.66,1.828,437
2019-12-31T00:00:00.000Z,0.6,51.03,3.86,2.06,11.26,8.164,359
2020-01-01T00:00:00.000Z,5.65,65.63,10.65,7.48,16.01,12.731,385
2020-01-02T00:00:00.000Z,1.57,11.28,5.23,3.57,6.5,2.133,176
2020-01-03T00:00:00.000Z,1.18,24.6,3.82,2.13,5.09,3.045,284
2020-01-04T00:00:00.000Z,0.3,23.13,1.12,0.8,1.84,2.627,205
2020-01-05T00:00:00.000Z,0.5,15.23,1.84,1.12,3.38,2.913,310
2020-01-06T00:00:00.000Z,0.4,33.11,2.29,1.35,4.61,4.716,95
2020-01-07T00:00:00.000Z,0.7,15.38,10.05,8.09,11.37,4.367,78
2020-01-08T00:00:00.000Z,0.76,87.04,4.09,2.63,5.71,6.717,509
2020-01-09T00:00:00.000Z,0.55,19.07,2.45,1.31,4.13,2.476,531
2020-01-10T00:00:00.000Z,0.91,52.22,3.56,2.48,6.04,4.57,419
2020-01-11T00:00:00.000Z,0.5,24.12,4.3,2.35,8.59,3.674,389
2020-01-12T00:00:00.000Z,0.45,19.13,3.32,1.72,5.3,2.425,491
2020-01-13T00:00:00.000Z,1,61.92,3.13,2.2,6.78,5.199,475
2020-01-14T00:00:00.000Z,0.57,48.78,1.62,1.04,2.88,3.806,387
2020-01-15T00:00:00.000Z,1.05,37.17,8.19,5.38,10.88,4.26,463
2020-01-16T00:00:00.000Z,1.3,28.95,2.75,1.9,5.46,3.256,464
2020-01-17T00:00:00.000Z,0.93,22.82,5.96,3.03,8.07,3.407,426
2020-01-18T00:00:00.000Z,0.3,45.1,3.7,1.21,5.08,3.558,498
2020-01-19T00:00:00.000Z,6.9,28.3,13,10.07,15.75,3.645,471
2020-01-20T00:00:00.000Z,11.86,52.35,18.63,16.82,20.38,3.654,364
