date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.45,12.2,1.68,1.06,3.35,2.09,310
2019-12-10T00:00:00.000Z,0.4,683.93,5.39,3.57,7.53,51.721,416
2019-12-11T00:00:00.000Z,0.95,30.28,3,1.92,5.95,4.783,414
2019-12-12T00:00:00.000Z,2.2,38.76,8.6,6.52,12.05,5.105,493
2019-12-13T00:00:00.000Z,1.3,18.94,3.85,2.54,6.3,2.439,550
2019-12-14T00:00:00.000Z,0.52,11.07,1.98,1.46,3.06,1.637,394
2019-12-15T00:00:00.000Z,0.95,10.05,2.22,1.65,3.5,1.331,578
2019-12-16T00:00:00.000Z,1.17,9.02,3.34,2.49,4.42,1.647,291
2019-12-17T00:00:00.000Z,0.45,10.02,0.97,0.72,1.5,1.17,279
2019-12-18T00:00:00.000Z,0.45,34.82,3.24,1.45,6.42,4.372,440
2019-12-19T00:00:00.000Z,0.8,37.1,7.76,4.34,9.91,6.014,491
2019-12-20T00:00:00.000Z,0.4,10.37,0.92,0.64,1.41,1.043,289
2019-12-21T00:00:00.000Z,0.48,18.05,2.76,1.6,5.12,2.766,578
2019-12-22T00:00:00.000Z,0.45,12.12,2.6,1.2,3.92,2.193,583
2019-12-23T00:00:00.000Z,0.4,6.3,0.88,0.65,1.38,1.127,586
2019-12-24T00:00:00.000Z,0.6,9.02,1.52,1.06,2.29,1.251,590
2019-12-25T00:00:00.000Z,0.52,22.63,1.4,0.94,2.38,2.228,592
2019-12-26T00:00:00.000Z,1,13.26,5.54,3.25,7.64,2.646,590
2019-12-27T00:00:00.000Z,3.8,38.36,8.27,6.72,14.22,8.747,591
2019-12-28T00:00:00.000Z,6.56,33.36,18.57,12.86,25.9,6.935,590
2019-12-29T00:00:00.000Z,2.76,57.12,9.43,5.15,20.32,9.399,592
2019-12-30T00:00:00.000Z,0.55,9.46,2.38,1.51,3.66,1.711,573
2019-12-31T00:00:00.000Z,1.38,341.4,6.98,2.4,31.31,35.638,576
2020-01-01T00:00:00.000Z,8.58,129.4,26.49,14.21,60.15,33.357,588
2020-01-02T00:00:00.000Z,4.26,50.52,17.35,12.88,26.97,10.772,572
